0|iata_code|1|city_rus|2|city_eng
AMP|AMP|Ампанихи|Ампанихи|Ampanihy|Ampanihy
AMQ|AMQ|Амбон|Амбон|Ambon|Ambon
AMR|AMR|Арно|Арно|Arno|Arno
AMS|AMS|Амстердам|Амстердам|Amsterdam|Amsterdam
AMT|AMT|||Amata|Amata
AMU|AMU|Аманаб|Аманаб|Amanab|Amanab
AMV|AMV|Амдерма|Амдерма|Amderma|Amderma
AMW|AMW|||Ames|Ames
AMX|AMX|||Ammaroo|Ammaroo
AMY|AMY|Амбатомаинти|Амбатомаинти|Ambatomainty|Ambatomainty
AMZ|AMZ|Ардмор|Ардмор|Ardmore|Ardmore
ANA|ANA|Анахайм|Анахайм|Anaheim|Anaheim
ANB|ANB|||Anniston|Anniston
ANC|ANC|Анкораж|Анкораж|Anchorage|Anchorage
AND|AND|||Anderson|Anderson
ANE|ANE|Анжер|Анжер|Angers|Angers
ANF|ANF|Антофагаста|Антофагаста|Antofagasta|Antofagasta
ANG|ANG|Ангулем|Ангулем|Angouleme|Angouleme
ANH|ANH|||Anuha Island Resort|Anuha Island Resort
ANI|ANI|||Aniak|Aniak
ANJ|ANJ|Занага|Занага|Zanaga|Zanaga
ANK|ANK|Анкара|Анкара|Ankara|Ankara
ANL|ANL|Андуло|Андуло|Andulo|Andulo
ANM|ANM|Анталаха|Анталаха|Antalaha|Antalaha
ANN|ANN|||Annette Island|Annette Island
ANO|ANO|||Angoche|Angoche
ANP|ANP|Аннаполис|Аннаполис|Annapolis|Annapolis
ANQ|ANQ|Ангола|Ангола|Angola|Angola
ANR|ANR|Антверпен|Антверпен|Antwerp|Antwerp
ANS|ANS|Андауайлас|Андауайлас|Andahuaylas|Andahuaylas
ANT|ANT|||St Anton|St Anton
ANU|ANU|||St. John&#039;s|St. John&#039;s
ANV|ANV|||Anvik|Anvik
ANW|ANW|||Ainsworth|Ainsworth
ANX|ANX|Анденес|Анденес|Andenes|Andenes
ANY|ANY|||Anthony|Anthony
ANZ|ANZ|||Angus Downs|Angus Downs
AOA|AOA|Ароа|Ароа|Aroa|Aroa
AOB|AOB|Аннаберг|Аннаберг|Annanberg|Annanberg
AOC|AOC|Альтенбург|Альтенбург|Altenburg|Altenburg
AOD|AOD|Абу-Дейя|Абу-Дейя|Abou Deia|Abou Deia
AOE|AOE|Эскишехир|Эскишехир|Eskisehir|Eskisehir
AOG|AOG|Аньшань|Аньшань|Anshan|Anshan
AOH|AOH|Лима|Лима|Lima|Lima
AOI|AOI|Анкона|Анкона|Ancona|Ancona
AOJ|AOJ|Аомори|Аомори|Aomori|Aomori
AOK|AOK|Карпатос|Карпатос|Karpathos|Karpathos
AOL|AOL|||Paso De Los Libres|Paso De Los Libres
AON|AON|Арона|Арона|Arona|Arona
AOO|AOO|||Martinsburg|Martinsburg
AOR|AOR|Алор-Сетар|Алор-Сетар|Alor Setar|Alor Setar
AOS|AOS|||Amook|Amook
AOT|AOT|Аоста|Аоста|Aosta|Aosta
AOU|AOU|Аттопью|Аттопью|Attopeu|Attopeu
APA|APA|Денвер|Денвер|Denver|Denver
APB|APB|Аполо|Аполо|Apolo|Apolo
APC|APC|Напа|Напа|Napa|Napa
